feature,rf_importance,xgb_importance,rfe_ranking,chi2_score,f_score,rf_importance_norm,xgb_importance_norm,rfe_ranking_norm,chi2_score_norm,f_score_norm,composite_score
thal,0.12097969620025968,0.2802749574184418,1,44.56986148782981,113.21931919375591,0.9806559021431986,1.0,1.0,1.0,1.0,0.9961311804286398
ca,0.11752363812730734,0.1201249286532402,1,27.576871118858243,80.57786588101037,0.9502137098862962,0.3720778211999063,1.0,0.6187118141291712,0.7116896081003845,0.7305385906631516
cp,0.11921854935238188,0.19008809328079224,1,7.11747727755825,59.241914677105164,0.9651430925190436,0.6463919946496698,1.0,0.15964457567476598,0.5232367106692813,0.6588832747025523
exang,0.05339687695602149,0.0913424864411354,1,35.50808986755963,63.6802533479989,0.3853623239484671,0.259226553146062,1.0,0.7966722520965164,0.5624389835989899,0.6007400225580071
oldpeak,0.10554403941606588,0.04100360348820686,1,11.05976333139182,64.67720842063616,0.8446931314034755,0.06185599189247598,1.0,0.24810146672289776,0.5712447345238767,0.5451790649085451
thalach,0.12317580366183122,0.03327811881899834,1,2.7177182949645973,64.58985473897074,1.0,0.03156562477122951,1.0,0.060922921373990566,0.5704731704040586,0.5325923433098557
age,0.10129432777643861,0.03672293201088905,1,1.0195419771825263,16.03809651827263,0.8072601554409463,0.0450721762323138,1.0,0.022819294323261127,0.14163269244166823,0.4033568636876379
slope,0.04896797895685129,0.03926406055688858,1,10.40928974839946,36.80429994812176,0.34635101061663554,0.05503552738196932,1.0,0.23350616083318665,0.32505320965219164,0.3919891816967966
trestbps,0.07483533469215543,0.03476583957672119,1,0.5506830104655858,7.117646427326163,0.5741999066275553,0.03739873555390108,1.0,0.012299051507423357,0.06284151739807724,0.33734784221739134
sex,0.031521154248240056,0.043226826936006546,1,7.444195309946613,24.798347484057366,0.19267315542992852,0.07057288892999414,1.0,0.16697546465638463,0.21900888537294866,0.32984607887785117
chol,0.07246318207913986,0.0252273827791214,1,0.09705315379241791,1.9137998329046126,0.5533051402828321,0.0,1.0,0.002120518985944375,0.01687778420739472,0.31446068869523425
restecg,0.02143216905005101,0.033414989709854126,1,4.067325979606426,8.394986626328015,0.10380577513792215,0.03210227324181131,1.0,0.09120537634754422,0.07412381080072908,0.2602474471056014
fbs,0.009647249483256466,0.03126579895615578,1,0.0025473179426243773,0.002958528855857597,0.0,0.023675646339996387,1.0,0.0,0.0,0.20473512926799925
